"Unique_Session_ID","Group_ID","Participant_ID","Day_Num","Block","Session_Type","Time_Offset","Dimension","Intensity"
"001_Day12_EOD","1_EndOfDay_Block_3",1,12,3,"EndOfDay",12.5,"Anxiety",0.29
"002_Day13_EOD","2_EndOfDay_Block_3",2,13,3,"EndOfDay",12.5,"Anxiety",13.07
"001_Day12_EOD","1_EndOfDay_Block_3",1,12,3,"EndOfDay",42.5,"Anxiety",0.29
"002_Day13_EOD","2_EndOfDay_Block_3",2,13,3,"EndOfDay",42.5,"Anxiety",13.07
"003_Day5_EOD","3_EndOfDay_Block_1",3,5,1,"EndOfDay",72.5,"Anxiety",2.24833333333333
"003_Day9_EOD","3_EndOfDay_Block_2",3,9,2,"EndOfDay",72.5,"Anxiety",0.31
"001_Day12_EOD","1_EndOfDay_Block_3",1,12,3,"EndOfDay",72.5,"Anxiety",0.29
"002_Day13_EOD","2_EndOfDay_Block_3",2,13,3,"EndOfDay",72.5,"Anxiety",13.07
"003_Day5_EOD","3_EndOfDay_Block_1",3,5,1,"EndOfDay",102.5,"Anxiety",10.43
"003_Day6_EOD","3_EndOfDay_Block_2",3,6,2,"EndOfDay",102.5,"Anxiety",5.11333333333333
"002_Day7_EOD","2_EndOfDay_Block_2",2,7,2,"EndOfDay",102.5,"Anxiety",25.2
"003_Day8_EOD","3_EndOfDay_Block_2",3,8,2,"EndOfDay",102.5,"Anxiety",0.63
"003_Day9_EOD","3_EndOfDay_Block_2",3,9,2,"EndOfDay",102.5,"Anxiety",4.23333333333333
"001_Day12_EOD","1_EndOfDay_Block_3",1,12,3,"EndOfDay",102.5,"Anxiety",0.29
"002_Day13_EOD","2_EndOfDay_Block_3",2,13,3,"EndOfDay",102.5,"Anxiety",13.0183333333333
"001_Day19_EOD","1_EndOfDay_Block_4",1,19,4,"EndOfDay",102.5,"Anxiety",1.28
"003_Day2_EOD","3_EndOfDay_Block_1",3,2,1,"EndOfDay",132.5,"Anxiety",0.96
"003_Day3_EOD","3_EndOfDay_Block_1",3,3,1,"EndOfDay",132.5,"Anxiety",32.0333333333333
"003_Day4_EOD","3_EndOfDay_Block_1",3,4,1,"EndOfDay",132.5,"Anxiety",7.68833333333333
"003_Day5_EOD","3_EndOfDay_Block_1",3,5,1,"EndOfDay",132.5,"Anxiety",11.345
"003_Day6_EOD","3_EndOfDay_Block_2",3,6,2,"EndOfDay",132.5,"Anxiety",29.6883333333333
"002_Day7_EOD","2_EndOfDay_Block_2",2,7,2,"EndOfDay",132.5,"Anxiety",25.3733333333333
"003_Day8_EOD","3_EndOfDay_Block_2",3,8,2,"EndOfDay",132.5,"Anxiety",4.86166666666667
"003_Day9_EOD","3_EndOfDay_Block_2",3,9,2,"EndOfDay",132.5,"Anxiety",8.29333333333333
"002_Day10_EOD","2_EndOfDay_Block_2",2,10,2,"EndOfDay",132.5,"Anxiety",12.3433333333333
"001_Day12_EOD","1_EndOfDay_Block_3",1,12,3,"EndOfDay",132.5,"Anxiety",0.29
"002_Day13_EOD","2_EndOfDay_Block_3",2,13,3,"EndOfDay",132.5,"Anxiety",13.0566666666667
"001_Day14_EOD","1_EndOfDay_Block_3",1,14,3,"EndOfDay",132.5,"Anxiety",0.09
"001_Day19_EOD","1_EndOfDay_Block_4",1,19,4,"EndOfDay",132.5,"Anxiety",2.275
"003_Day2_EOD","3_EndOfDay_Block_1",3,2,1,"EndOfDay",162.5,"Anxiety",10.22
"003_Day3_EOD","3_EndOfDay_Block_1",3,3,1,"EndOfDay",162.5,"Anxiety",65.0616666666667
"003_Day4_EOD","3_EndOfDay_Block_1",3,4,1,"EndOfDay",162.5,"Anxiety",25.235
"003_Day5_EOD","3_EndOfDay_Block_1",3,5,1,"EndOfDay",162.5,"Anxiety",10.3633333333333
"003_Day6_EOD","3_EndOfDay_Block_2",3,6,2,"EndOfDay",162.5,"Anxiety",43.4583333333333
"002_Day7_EOD","2_EndOfDay_Block_2",2,7,2,"EndOfDay",162.5,"Anxiety",25.495
"003_Day8_EOD","3_EndOfDay_Block_2",3,8,2,"EndOfDay",162.5,"Anxiety",12.5166666666667
"001_Day9_EOD","1_EndOfDay_Block_2",1,9,2,"EndOfDay",162.5,"Anxiety",1.43
"003_Day9_EOD","3_EndOfDay_Block_2",3,9,2,"EndOfDay",162.5,"Anxiety",11.1516666666667
"001_Day10_EOD","1_EndOfDay_Block_2",1,10,2,"EndOfDay",162.5,"Anxiety",1.95
"002_Day10_EOD","2_EndOfDay_Block_2",2,10,2,"EndOfDay",162.5,"Anxiety",12.845
"003_Day10_EOD","3_EndOfDay_Block_2",3,10,2,"EndOfDay",162.5,"Anxiety",1.305
"001_Day12_EOD","1_EndOfDay_Block_3",1,12,3,"EndOfDay",162.5,"Anxiety",0.355
"001_Day13_EOD","1_EndOfDay_Block_3",1,13,3,"EndOfDay",162.5,"Anxiety",1.46
"002_Day13_EOD","2_EndOfDay_Block_3",2,13,3,"EndOfDay",162.5,"Anxiety",19.2533333333333
"001_Day14_EOD","1_EndOfDay_Block_3",1,14,3,"EndOfDay",162.5,"Anxiety",1.13666666666667
"002_Day15_EOD","2_EndOfDay_Block_3",2,15,3,"EndOfDay",162.5,"Anxiety",12.45
"001_Day18_EOD","1_EndOfDay_Block_4",1,18,4,"EndOfDay",162.5,"Anxiety",0.4275
"001_Day19_EOD","1_EndOfDay_Block_4",1,19,4,"EndOfDay",162.5,"Anxiety",2.57166666666667
"001_Day20_EOD","1_EndOfDay_Block_4",1,20,4,"EndOfDay",162.5,"Anxiety",1.79
